date,division,rain_mm,temp_c,rh_pct,lon,lat
2025-10-06,Chittagong,5.36,26.83,92.23,91.40585777699802,22.87576454745377
2025-10-07,Chittagong,5.86,27.02,87.02,91.40585777699802,22.87576454745377
2025-10-08,Chittagong,3.58,27.05,88.58,91.40585777699802,22.87576454745377
2025-10-09,Chittagong,28.53,27.01,88.18,91.40585777699802,22.87576454745377
2025-10-10,Chittagong,23.58,27.44,85.79,91.40585777699802,22.87576454745377
2025-10-11,Chittagong,16.85,26.72,89.08,91.40585777699802,22.87576454745377
2025-10-12,Chittagong,7.39,26.78,86.45,91.40585777699802,22.87576454745377
2025-10-13,Chittagong,0.15,25.9,86.25,91.40585777699802,22.87576454745377
2025-10-14,Chittagong,0.02,26.17,86.54,91.40585777699802,22.87576454745377
2025-10-15,Chittagong,0.44,26.09,84.88,91.40585777699802,22.87576454745377
2025-10-16,Chittagong,5.01,26.38,86.85,91.40585777699802,22.87576454745377
2025-10-17,Chittagong,7.47,26.68,87.79,91.40585777699802,22.87576454745377
2025-10-18,Chittagong,1.14,27.51,86.28,91.40585777699802,22.87576454745377
2025-10-19,Chittagong,1.95,27.23,84.54,91.40585777699802,22.87576454745377
2025-10-20,Chittagong,0.96,27.01,84.37,91.40585777699802,22.87576454745377
2025-10-21,Chittagong,0.65,27.21,83.78,91.40585777699802,22.87576454745377
2025-10-22,Chittagong,0.07,27.24,82.49,91.40585777699802,22.87576454745377
2025-10-23,Chittagong,0.56,27.31,84.29,91.40585777699802,22.87576454745377
2025-10-24,Chittagong,0.94,27.1,82.44,91.40585777699802,22.87576454745377
2025-10-25,Chittagong,0.27,26.81,83.77,91.40585777699802,22.87576454745377
2025-10-26,Chittagong,0.0,26.57,82.79,91.40585777699802,22.87576454745377
2025-10-27,Chittagong,0.02,27.12,81.87,91.40585777699802,22.87576454745377
2025-10-28,Chittagong,0.39,28.04,76.55,91.40585777699802,22.87576454745377
2025-10-29,Chittagong,8.72,28.24,78.29,91.40585777699802,22.87576454745377
2025-10-30,Chittagong,3.67,27.43,84.67,91.40585777699802,22.87576454745377
2025-10-31,Chittagong,0.58,27.98,84.72,91.40585777699802,22.87576454745377
2025-11-01,Chittagong,1.02,27.28,87.56,91.40585777699802,22.87576454745377
2025-11-02,Chittagong,6.74,26.91,88.57,91.40585777699802,22.87576454745377
2025-11-03,Chittagong,2.67,25.44,89.47,91.40585777699802,22.87576454745377
2025-11-04,Chittagong,1.52,25.2,86.84,91.40585777699802,22.87576454745377
2025-11-05,Chittagong,23.68,25.27,89.71,91.40585777699802,22.87576454745377
2025-11-06,Chittagong,5.63,25.55,86.05,91.40585777699802,22.87576454745377
2025-11-07,Chittagong,0.8,25.15,88.02,91.40585777699802,22.87576454745377
2025-11-08,Chittagong,0.0,23.95,87.84,91.40585777699802,22.87576454745377
2025-11-09,Chittagong,0.0,22.45,87.16,91.40585777699802,22.87576454745377
2025-11-10,Chittagong,0.0,22.31,86.53,91.40585777699802,22.87576454745377
2025-11-11,Chittagong,0.0,21.58,86.28,91.40585777699802,22.87576454745377
2025-11-12,Chittagong,0.0,20.71,83.48,91.40585777699802,22.87576454745377
2025-11-13,Chittagong,0.0,20.45,84.16,91.40585777699802,22.87576454745377
2025-11-14,Chittagong,0.0,20.38,81.3,91.40585777699802,22.87576454745377
2025-11-15,Chittagong,0.0,20.16,81.09,91.40585777699802,22.87576454745377
2025-11-16,Chittagong,0.0,20.45,79.97,91.40585777699802,22.87576454745377
2025-11-17,Chittagong,0.0,21.5,82.76,91.40585777699802,22.87576454745377
2025-11-18,Chittagong,0.0,22.53,86.78,91.40585777699802,22.87576454745377
